cycle,input_fire,sample_index,channel_id,sample_u16,fault_active,input_ready,mode,q_shift,current_mad,cfg_t_low,cfg_t_high,quantized,dptc_delta,bit_width,is_absolute,packer_byte_valid,packer_byte,m_axis_tvalid,m_axis_byte,m_axis_tlast,fifo_level,fifo_full,overflow
105,1,99,2,4981,0,1,1,2,1,60,450,1245,0,1,0,0,0,0,223,0,0,0,0
106,1,100,2,4981,0,1,1,2,0,60,450,1245,0,1,0,0,0,0,223,0,0,0,0
107,1,101,2,4981,0,1,1,2,0,60,450,1245,0,1,0,0,0,0,223,0,0,0,0
108,1,102,2,4981,0,1,1,2,0,60,450,1245,0,1,0,1,0,0,223,0,0,0,0
109,1,103,2,4982,0,1,1,2,0,60,450,1245,0,1,0,0,0,0,223,0,0,0,0
110,1,104,2,4982,0,1,1,2,0,60,450,1245,0,1,0,0,0,0,223,0,0,0,0
111,1,105,2,4983,0,1,1,2,0,60,450,1245,0,1,0,0,0,0,223,0,0,0,0
112,1,106,2,4983,0,1,1,2,0,60,450,1245,0,1,0,0,0,0,223,0,0,0,0
113,1,107,2,4984,0,1,1,2,0,60,450,1245,0,1,0,0,0,0,223,0,0,0,0
114,1,108,2,4985,0,1,1,2,0,60,450,1245,0,1,0,0,0,0,223,0,0,0,0
115,1,109,2,4985,0,1,1,2,1,60,450,1246,0,1,0,0,0,0,223,0,0,0,0
116,1,110,2,4986,0,1,1,2,1,60,450,1246,1,3,0,1,0,0,223,0,0,0,0
117,1,111,2,4987,0,1,1,2,1,60,450,1246,0,1,0,0,0,0,223,0,0,0,0
118,1,112,2,4987,0,1,1,2,1,60,450,1246,0,1,0,0,0,0,223,0,0,0,0
119,1,113,2,4988,0,1,1,2,1,60,450,1246,0,1,0,0,0,0,223,0,0,0,0
120,1,114,2,4989,0,1,1,2,2,60,450,1246,0,1,0,0,0,0,223,0,0,0,0
121,1,115,2,4990,0,1,1,2,2,60,450,1247,0,1,0,0,0,0,223,0,0,0,0
122,1,116,2,4991,0,1,1,2,2,60,450,1247,1,3,0,1,1,0,223,0,0,0,0
